
--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 1) Actions Values: {'up': -34.309, 'down': -3.466, 'left': -32.566, 'right': -9.995} Nr Visits: 258
Pos: (4, 5) Actions Values: {'up': -1.124, 'down': 6.56, 'left': 27.108, 'right': 82.617} Nr Visits: 286
Pos: (5, 5) Actions Values: {'up': 8.262, 'down': 1.895, 'left': 38.735, 'right': 97.496} Nr Visits: 277
Pos: (6, 5) Actions Values: {'up': 50, 'down': 50, 'left': 50, 'right': 50} Nr Visits: 500
Pos: (7, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (8, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (10, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (1, 6) Actions Values: {'up': -9.532, 'down': -9.797, 'left': -19.647, 'right': 16.038} Nr Visits: 131
Pos: (2, 6) Actions Values: {'up': 42.164, 'down': -5.288, 'left': -9.42, 'right': -6.059} Nr Visits: 206
Pos: (3, 6) Actions Values: {'up': 40.166, 'down': -9.5, 'left': -6.862, 'right': -6.862} Nr Visits: 52
Pos: (4, 6) Actions Values: {'up': 46.279, 'down': -4.095, 'left': -3.439, 'right': -1.357} Nr Visits: 33
Pos: (5, 6) Actions Values: {'up': 67.429, 'down': -1.9, 'left': -1.9, 'right': 0.309} Nr Visits: 27
Pos: (6, 6) Actions Values: {'up': 97.496, 'down': 7.02, 'left': 13.374, 'right': 8.689} Nr Visits: 125
Pos: (7, 6) Actions Values: {'up': -2.684, 'down': -0.906, 'left': 82.617, 'right': -7.185} Nr Visits: 127
Pos: (8, 6) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 6) Actions Values: {'up': -26.085, 'down': -9.995, 'left': -35.878, 'right': -9.995} Nr Visits: 258
Pos: (10, 6) Actions Values: {'up': -17.195, 'down': -9.995, 'left': -9.995, 'right': -23.428} Nr Visits: 252
Pos: (1, 7) Actions Values: {'up': -9.992, 'down': -9.99, 'left': -30.629, 'right': 15.838} Nr Visits: 251
Pos: (2, 7) Actions Values: {'up': 29.065, 'down': -9.97, 'left': -9.973, 'right': -27.582} Nr Visits: 243
Pos: (3, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 7) Actions Values: {'up': 6.91, 'down': -2.71, 'left': -5.0, 'right': -3.439} Nr Visits: 15
Pos: (5, 7) Actions Values: {'up': 20.681, 'down': -2.71, 'left': -3.306, 'right': -5.0} Nr Visits: 19
Pos: (6, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 7) Actions Values: {'up': 68.456, 'down': 9.915, 'left': -0.129, 'right': -7.568} Nr Visits: 137
Pos: (8, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 7) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -32.566, 'right': -9.995} Nr Visits: 340
Pos: (10, 7) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -30.629} Nr Visits: 349
Pos: (1, 8) Actions Values: {'up': 2.062, 'down': -9.995, 'left': -30.629, 'right': -9.787} Nr Visits: 391
Pos: (2, 8) Actions Values: {'up': 2.869, 'down': -23.428, 'left': -9.995, 'right': -26.085} Nr Visits: 192
Pos: (3, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 8) Actions Values: {'up': -3.7, 'down': -5.0, 'left': -5.0, 'right': -4.095} Nr Visits: 12
Pos: (5, 8) Actions Values: {'up': -2.347, 'down': -5.216, 'left': -5.216, 'right': -17.195} Nr Visits: 30
Pos: (6, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 8) Actions Values: {'up': 54.927, 'down': -2.149, 'left': -8.769, 'right': -10.151} Nr Visits: 150
Pos: (8, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 8) Actions Values: {'up': -9.995, 'down': -9.958, 'left': -32.566, 'right': -9.995} Nr Visits: 343
Pos: (10, 8) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -35.878} Nr Visits: 377
Pos: (1, 9) Actions Values: {'up': -9.551, 'down': -9.995, 'left': -38.561, 'right': -32.566} Nr Visits: 478
Pos: (2, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 9) Actions Values: {'up': -8.499, 'down': -8.332, 'left': -13.55, 'right': -13.55} Nr Visits: 41
Pos: (6, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 9) Actions Values: {'up': 41.866, 'down': -9.234, 'left': -20.012, 'right': -7.805} Nr Visits: 220
Pos: (8, 9) Actions Values: {'up': -30.09, 'down': -9.954, 'left': 29.017, 'right': -9.607} Nr Visits: 290
Pos: (9, 9) Actions Values: {'up': -9.995, 'down': -9.995, 'left': 15.96, 'right': -9.995} Nr Visits: 451
Pos: (10, 9) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -0.042, 'right': -37.29} Nr Visits: 429
Pos: (1, 10) Actions Values: {'up': -9.995, 'down': -40.734, 'left': -46.011, 'right': -9.995} Nr Visits: 718
Pos: (2, 10) Actions Values: {'up': -35.878, 'down': -41.661, 'left': -9.995, 'right': -9.995} Nr Visits: 715
Pos: (3, 10) Actions Values: {'up': -38.561, 'down': -34.309, 'left': -9.995, 'right': -34.309} Nr Visits: 389
Pos: (4, 10) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 10) Actions Values: {'up': -9.478, 'down': -17.195, 'left': -13.55, 'right': -9.42} Nr Visits: 62
Pos: (6, 10) Actions Values: {'up': -13.55, 'down': -17.195, 'left': -9.817, 'right': -9.797} Nr Visits: 82
Pos: (7, 10) Actions Values: {'up': 7.304, 'down': -28.477, 'left': -9.937, 'right': -9.943} Nr Visits: 162
Pos: (8, 10) Actions Values: {'up': 2.007, 'down': -17.195, 'left': -9.995, 'right': -9.995} Nr Visits: 237
Pos: (9, 10) Actions Values: {'up': -0.647, 'down': -32.566, 'left': -9.995, 'right': -9.995} Nr Visits: 359
Pos: (10, 10) Actions Values: {'up': -9.995, 'down': -30.629, 'left': -9.995, 'right': -35.878} Nr Visits: 390

--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 1) Actions Values: {'up': -23.428, 'down': -2.859, 'left': -20.476, 'right': -9.994} Nr Visits: 212
Pos: (2, 1) Actions Values: {'up': -28.477, 'down': 1.001, 'left': -9.835, 'right': -9.852} Nr Visits: 142
Pos: (3, 1) Actions Values: {'up': -13.55, 'down': -9.75, 'left': -9.75, 'right': -20.476} Nr Visits: 78
Pos: (4, 1) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 1) Actions Values: {'up': -13.55, 'down': -9.577, 'left': -17.195, 'right': -9.53} Nr Visits: 66
Pos: (6, 1) Actions Values: {'up': -17.195, 'down': -9.619, 'left': -9.619, 'right': -7.271} Nr Visits: 97
Pos: (7, 1) Actions Values: {'up': -28.354, 'down': 39.889, 'left': -9.797, 'right': -9.835} Nr Visits: 191
Pos: (8, 1) Actions Values: {'up': -31.608, 'down': -22.143, 'left': 24.962, 'right': -9.995} Nr Visits: 219
Pos: (9, 1) Actions Values: {'up': -38.561, 'down': -9.995, 'left': 9.312, 'right': -9.995} Nr Visits: 440
Pos: (10, 1) Actions Values: {'up': -34.309, 'down': -9.995, 'left': -5.337, 'right': -38.561} Nr Visits: 449
Pos: (1, 2) Actions Values: {'up': -9.797, 'down': -9.722, 'left': -23.021, 'right': 7.678} Nr Visits: 188
Pos: (2, 2) Actions Values: {'up': -9.506, 'down': 18.657, 'left': -8.123, 'right': -9.355} Nr Visits: 219
Pos: (3, 2) Actions Values: {'up': -9.577, 'down': -13.55, 'left': -8.758, 'right': -13.55} Nr Visits: 67
Pos: (4, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 2) Actions Values: {'up': -9.478, 'down': -13.55, 'left': -17.195, 'right': -9.53} Nr Visits: 64
Pos: (6, 2) Actions Values: {'up': -9.42, 'down': -20.476, 'left': -9.42, 'right': -5.03} Nr Visits: 86
Pos: (7, 2) Actions Values: {'up': -5.925, 'down': 54.137, 'left': -8.906, 'right': -21.301} Nr Visits: 151
Pos: (8, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -37.29, 'right': -9.995} Nr Visits: 460
Pos: (10, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -35.878} Nr Visits: 522
Pos: (1, 3) Actions Values: {'up': -9.114, 'down': -9.114, 'left': -13.55, 'right': -2.433} Nr Visits: 76
Pos: (2, 3) Actions Values: {'up': -6.215, 'down': 30.177, 'left': -8.784, 'right': -19.022} Nr Visits: 185
Pos: (3, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (6, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 3) Actions Values: {'up': 3.52, 'down': 68.228, 'left': -3.301, 'right': -3.654} Nr Visits: 106
Pos: (8, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 3) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -32.566, 'right': -9.995} Nr Visits: 445
Pos: (10, 3) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -34.309} Nr Visits: 449
Pos: (1, 4) Actions Values: {'up': -8.649, 'down': 5.158, 'left': -9.5, 'right': -8.649} Nr Visits: 67
Pos: (2, 4) Actions Values: {'up': -6.775, 'down': 42.296, 'left': -8.224, 'right': -2.704} Nr Visits: 185
Pos: (3, 4) Actions Values: {'up': -17.387, 'down': 31.536, 'left': -6.513, 'right': -9.5} Nr Visits: 36
Pos: (4, 4) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 4) Actions Values: {'up': -5.0, 'down': 45.949, 'left': -5.0, 'right': -1.0} Nr Visits: 12
Pos: (6, 4) Actions Values: {'up': -5.0, 'down': 9.75, 'left': -1.0, 'right': -1.0} Nr Visits: 4
Pos: (7, 4) Actions Values: {'up': 0.828, 'down': 82.58, 'left': -1.9, 'right': -5.239} Nr Visits: 101
Pos: (8, 4) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 4) Actions Values: {'up': -9.995, 'down': -20.476, 'left': -28.477, 'right': -9.995} Nr Visits: 283
Pos: (10, 4) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -30.629} Nr Visits: 390
Pos: (1, 5) Actions Values: {'up': -9.114, 'down': -4.237, 'left': -17.195, 'right': 34.519} Nr Visits: 106
Pos: (2, 5) Actions Values: {'up': -2.734, 'down': 5.15, 'left': 3.547, 'right': 55.053} Nr Visits: 295
Pos: (3, 5) Actions Values: {'up': -0.977, 'down': -5.065, 'left': 9.501, 'right': 68.482} Nr Visits: 272
Pos: (4, 5) Actions Values: {'up': 12.069, 'down': 3.018, 'left': 23.305, 'right': 82.617} Nr Visits: 279
Pos: (5, 5) Actions Values: {'up': 7.934, 'down': -1.767, 'left': 26.845, 'right': 97.496} Nr Visits: 264
Pos: (6, 5) Actions Values: {'up': 50, 'down': 50, 'left': 50, 'right': 50} Nr Visits: 500
Pos: (7, 5) Actions Values: {'up': 13.388, 'down': 4.303, 'left': 97.496, 'right': 0.393} Nr Visits: 110
Pos: (8, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 5) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (10, 5) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -20.476, 'right': -28.477} Nr Visits: 218
Pos: (1, 6) Actions Values: {'up': -9.69, 'down': -8.717, 'left': -24.29, 'right': 29.157} Nr Visits: 235
Pos: (2, 6) Actions Values: {'up': 42.071, 'down': -17.195, 'left': -7.014, 'right': -9.203} Nr Visits: 156
Pos: (3, 6) Actions Values: {'up': -6.125, 'down': -9.5, 'left': -2.527, 'right': 10.923} Nr Visits: 40
Pos: (4, 6) Actions Values: {'up': 53.574, 'down': -3.439, 'left': -2.71, 'right': -3.767} Nr Visits: 33
Pos: (5, 6) Actions Values: {'up': -1.0, 'down': -1.044, 'left': -1.9, 'right': 31.663} Nr Visits: 15
Pos: (6, 6) Actions Values: {'up': 97.496, 'down': 12.199, 'left': 1.698, 'right': 5.404} Nr Visits: 168
Pos: (7, 6) Actions Values: {'up': 48.633, 'down': -1.0, 'left': -1.9, 'right': -5.0} Nr Visits: 16
Pos: (8, 6) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 6) Actions Values: {'up': -20.476, 'down': -9.97, 'left': -26.085, 'right': -9.967} Nr Visits: 121
Pos: (10, 6) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -34.309} Nr Visits: 225
Pos: (1, 7) Actions Values: {'up': 15.982, 'down': -9.995, 'left': -25.832, 'right': -28.103} Nr Visits: 297
Pos: (2, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 7) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 7) Actions Values: {'up': 8.815, 'down': -1.9, 'left': -5.0, 'right': -1.9} Nr Visits: 10
Pos: (5, 7) Actions Values: {'up': -1.724, 'down': -1.9, 'left': -1.0, 'right': 35.643} Nr Visits: 16
Pos: (6, 7) Actions Values: {'up': 82.617, 'down': -1.0, 'left': -2.71, 'right': 9.66} Nr Visits: 166
Pos: (7, 7) Actions Values: {'up': -3.257, 'down': -9.5, 'left': 50.867, 'right': -2.71} Nr Visits: 46
Pos: (8, 7) Actions Values: {'up': -13.55, 'down': -9.5, 'left': 18.226, 'right': -7.941} Nr Visits: 57
Pos: (9, 7) Actions Values: {'up': -9.797, 'down': -23.428, 'left': -2.956, 'right': -9.835} Nr Visits: 131
Pos: (10, 7) Actions Values: {'up': -9.97, 'down': -13.55, 'left': -9.97, 'right': -13.55} Nr Visits: 116
Pos: (1, 8) Actions Values: {'up': 2.6, 'down': -9.995, 'left': -37.29, 'right': -9.995} Nr Visits: 612
Pos: (2, 8) Actions Values: {'up': -32.566, 'down': -9.995, 'left': -9.651, 'right': -34.309} Nr Visits: 496
Pos: (3, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 8) Actions Values: {'up': -2.765, 'down': -2.71, 'left': -5.0, 'right': -2.71} Nr Visits: 11
Pos: (5, 8) Actions Values: {'up': 3.99, 'down': -2.71, 'left': -2.71, 'right': -2.71} Nr Visits: 18
Pos: (6, 8) Actions Values: {'up': 68.482, 'down': 1.608, 'left': -5.44, 'right': -1.241} Nr Visits: 134
Pos: (7, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (8, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (10, 8) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (1, 9) Actions Values: {'up': -9.476, 'down': -9.995, 'left': -41.661, 'right': -9.995} Nr Visits: 794
Pos: (2, 9) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -44.528} Nr Visits: 858
Pos: (3, 9) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 9) Actions Values: {'up': -4.095, 'down': -5.0, 'left': -5.0, 'right': -3.439} Nr Visits: 11
Pos: (5, 9) Actions Values: {'up': -4.095, 'down': -4.685, 'left': -4.685, 'right': 0.688} Nr Visits: 24
Pos: (6, 9) Actions Values: {'up': 55.052, 'down': -4.935, 'left': -6.125, 'right': 7.585} Nr Visits: 156
Pos: (7, 9) Actions Values: {'up': -13.55, 'down': -8.303, 'left': 42.27, 'right': -6.165} Nr Visits: 165
Pos: (8, 9) Actions Values: {'up': -18.693, 'down': -9.53, 'left': 30.057, 'right': -5.827} Nr Visits: 198
Pos: (9, 9) Actions Values: {'up': -17.195, 'down': -9.976, 'left': 18.293, 'right': -9.963} Nr Visits: 246
Pos: (10, 9) Actions Values: {'up': -20.048, 'down': -9.995, 'left': 6.662, 'right': -28.477} Nr Visits: 218
Pos: (1, 10) Actions Values: {'up': -9.995, 'down': -46.011, 'left': -45.075, 'right': -9.995} Nr Visits: 732
Pos: (2, 10) Actions Values: {'up': -9.995, 'down': -43.92, 'left': -9.995, 'right': -40.734} Nr Visits: 676
Pos: (3, 10) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (4, 10) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 10) Actions Values: {'up': -5.694, 'down': -13.55, 'left': -9.5, 'right': -5.694} Nr Visits: 21
Pos: (6, 10) Actions Values: {'up': 9.722, 'down': -9.5, 'left': -6.513, 'right': -6.513} Nr Visits: 37
Pos: (7, 10) Actions Values: {'up': 3.284, 'down': -13.55, 'left': -8.649, 'right': -8.649} Nr Visits: 66
Pos: (8, 10) Actions Values: {'up': -3.181, 'down': -17.195, 'left': -9.775, 'right': -9.775} Nr Visits: 116
Pos: (9, 10) Actions Values: {'up': -0.911, 'down': -26.085, 'left': -9.988, 'right': -9.989} Nr Visits: 216
Pos: (10, 10) Actions Values: {'up': -4.993, 'down': -17.195, 'left': -9.995, 'right': -28.477} Nr Visits: 280

--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 1) Actions Values: {'up': -43.92, 'down': -9.995, 'left': -45.568, 'right': -9.995} Nr Visits: 876
Pos: (2, 1) Actions Values: {'up': -30.629, 'down': -41.661, 'left': -9.995, 'right': -9.995} Nr Visits: 610
Pos: (3, 1) Actions Values: {'up': -28.477, 'down': -9.995, 'left': -9.995, 'right': -9.995} Nr Visits: 522
Pos: (4, 1) Actions Values: {'up': -34.309, 'down': -4.078, 'left': -9.995, 'right': -9.995} Nr Visits: 340
Pos: (5, 1) Actions Values: {'up': -26.085, 'down': -0.655, 'left': -9.991, 'right': -9.992} Nr Visits: 217
Pos: (6, 1) Actions Values: {'up': -17.195, 'down': 4.27, 'left': -9.892, 'right': -9.892} Nr Visits: 144
Pos: (7, 1) Actions Values: {'up': -20.476, 'down': 5.964, 'left': -9.619, 'right': -13.55} Nr Visits: 77
Pos: (8, 1) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 1) Actions Values: {'up': -17.195, 'down': -26.085, 'left': -13.55, 'right': -9.348} Nr Visits: 90
Pos: (10, 1) Actions Values: {'up': -23.033, 'down': 7.59, 'left': -9.995, 'right': -25.623} Nr Visits: 248
Pos: (1, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -46.41, 'right': -45.075} Nr Visits: 880
Pos: (2, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -28.477, 'right': -4.47} Nr Visits: 369
Pos: (4, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': 13.213} Nr Visits: 398
Pos: (5, 2) Actions Values: {'up': -9.984, 'down': -26.428, 'left': -8.213, 'right': 27.402} Nr Visits: 253
Pos: (6, 2) Actions Values: {'up': -9.689, 'down': -19.694, 'left': -3.521, 'right': 41.028} Nr Visits: 209
Pos: (7, 2) Actions Values: {'up': -9.133, 'down': 54.704, 'left': -1.705, 'right': -11.87} Nr Visits: 171
Pos: (8, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (10, 2) Actions Values: {'up': -9.722, 'down': 18.633, 'left': -28.742, 'right': -15.45} Nr Visits: 189
Pos: (1, 3) Actions Values: {'up': -9.995, 'down': -39.705, 'left': -34.309, 'right': -35.878} Nr Visits: 454
Pos: (2, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 3) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -35.878, 'right': -9.995} Nr Visits: 297
Pos: (4, 3) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -30.629} Nr Visits: 284
Pos: (5, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (6, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 3) Actions Values: {'up': 14.597, 'down': 68.482, 'left': 3.104, 'right': 2.712} Nr Visits: 268
